# Radius (nm), Energy
6.270140280561121223e-08,3.639643151797177650e-02
6.289979959919839886e-08,3.605311485094723351e-02
6.309819639278557225e-08,3.571410251446154038e-02
6.329659318637274564e-08,3.537932726250245241e-02
6.349498997995991904e-08,3.504872310582001632e-02
6.369338677354709243e-08,3.472222528460938706e-02
6.389178356713426583e-08,3.439977024187020754e-02
6.409018036072143922e-08,3.408129559742364284e-02
6.428857715430861261e-08,3.376674012256895147e-02
6.448697394789578601e-08,3.345604371536185090e-02
6.468537074148295940e-08,3.314914737649767018e-02
6.488376753507013279e-08,3.284599318578255295e-02
6.508216432865730619e-08,3.254652427917677920e-02
6.528056112224447958e-08,3.225068482639451700e-02
6.547895791583165297e-08,3.195842000904491192e-02
6.567735470941883960e-08,3.166967599929974841e-02
6.587575150300601299e-08,3.138439993907369413e-02
6.607414829659318639e-08,3.110253991970295118e-02
6.627254509018035978e-08,3.082404496210926562e-02
6.647094188376753317e-08,3.054886499743612871e-02
6.666933867735470657e-08,3.027695084814457580e-02
6.686773547094187996e-08,3.000825420955638076e-02
6.706613226452905335e-08,2.974272763183273202e-02
6.726452905811622675e-08,2.948032450237689575e-02
6.746292585170340014e-08,2.922099902864966001e-02
6.766132264529057353e-08,2.896470622138671777e-02
6.785971943887774693e-08,2.871140187820741055e-02
6.805811623246492032e-08,2.846104256760463233e-02
6.825651302605209371e-08,2.821358561330592624e-02
6.845490981963928034e-08,2.796898907899608017e-02
6.865330661322645374e-08,2.772721175339205868e-02
6.885170340681362713e-08,2.748821313566073357e-02
6.905010020040080052e-08,2.725195342117107261e-02
6.924849699398797392e-08,2.701839348757182485e-02
6.944689378757514731e-08,2.678749488118652503e-02
6.964529058116232070e-08,2.655921980371764302e-02
6.984368737474949410e-08,2.633353109925205826e-02
7.004208416833666749e-08,2.611039224156008406e-02
7.024048096192384088e-08,2.588976732168075598e-02
7.043887775551101428e-08,2.567162103578602902e-02
7.063727454909818767e-08,2.545591867331686506e-02
7.083567134268536106e-08,2.524262610538447263e-02
