Rvals*1e9,0a1,0a1
9.047103727792854842e-09,-7.109627529161331040e+03,1.713921122029119104e+01
9.088929640392084865e-09,-7.109849405009330439e+03,1.686158536899523241e+01
9.130755552991314887e-09,-7.110067235695046293e+03,1.658902487644751744e+01
9.172581465590544910e-09,-7.110281112972434130e+03,1.632141472914907965e+01
9.214407378189773278e-09,-7.110491126109768629e+03,1.605864303367013690e+01
9.256233290789003301e-09,-7.110697361967826509e+03,1.580060091832957170e+01
9.298059203388233323e-09,-7.110899905075286370e+03,1.554718243840322245e+01
9.339885115987461692e-09,-7.111098837701438242e+03,1.529828448471038982e+01
9.381711028586691714e-09,-7.111294239926304726e+03,1.505380669545771966e+01
9.423536941185921737e-09,-7.111486189708316488e+03,1.481365137119364306e+01
9.465362853785151759e-09,-7.111674762949557589e+03,1.457772339276458595e+01
9.507188766384381782e-09,-7.111860033558783471e+03,1.434593014214514639e+01
9.549014678983610150e-09,-7.112042073512201569e+03,1.411818142603536330e+01
9.590840591582840173e-09,-7.112220952912161010e+03,1.389438940211167761e+01
9.632666504182070196e-09,-7.112396740043813224e+03,1.367446850783212753e+01
9.674492416781298564e-09,-7.112569501429824413e+03,1.345833539169492710e+01
9.716318329380528586e-09,-7.112739301883204462e+03,1.324590884685720482e+01
9.758144241979758609e-09,-7.112906204558340505e+03,1.303710974702020309e+01
9.799970154578988632e-09,-7.113070271000305183e+03,1.283186098449676749e+01
9.841796067178218654e-09,-7.113231561192487789e+03,1.263008741037815419e+01
9.883621979777447023e-09,-7.113390133602612877e+03,1.243171577671764716e+01
9.925447892376677045e-09,-7.113546045227241848e+03,1.223667468065910313e+01
9.967273804975907068e-09,-7.113699351634759296e+03,1.204489451043040837e+01
1.000909971757513544e-08,-7.113850107006944199e+03,1.185630739314295035e+01
1.005092563017436546e-08,-7.113998364179177770e+03,1.167084714431434911e+01
1.009275154277359548e-08,-7.114144174679286152e+03,1.148844921906790972e+01
1.013457745537282550e-08,-7.114287588765148030e+03,1.130905066493101785e+01
1.017640336797205553e-08,-7.114428655461049857e+03,1.113259007618254515e+01
1.021822928057128389e-08,-7.114567422592864204e+03,1.095900754969197344e+01
1.026005519317051392e-08,-7.114703936822075775e+03,1.078824464219067103e+01
1.030188110576974394e-08,-7.114838243678727849e+03,1.062024432893003301e+01
1.034370701836897231e-08,-7.114970387593287342e+03,1.045495096366696686e+01
1.038553293096820233e-08,-7.115100411927497589e+03,1.029231023994163863e+01
1.042735884356743235e-08,-7.115228359004252525e+03,1.013226915358591995e+01
1.046918475616666238e-08,-7.115354270136502237e+03,9.974775966433124808e+00
1.051101066876589240e-08,-7.115478185655268135e+03,9.819780171172903138e+00
1.055283658136512077e-08,-7.115600144936746801e+03,9.667232457322350925e+00
1.059466249396435079e-08,-7.115720186428580746e+03,9.517084678263580955e+00
1.063648840656358081e-08,-7.115838347675306068e+03,9.369289819318877832e+00
1.067831431916280918e-08,-7.115954665342990666e+03,9.223801966820179388e+00
1.072014023176203920e-08,-7.116069175243129393e+03,9.080576278140423341e+00
1.076196614436126923e-08,-7.116181912355777968e+03,8.939568952656440359e+00
1.080379205696049925e-08,-7.116292910851988381e+03,8.800737203606319170e+00
1.084561796955972927e-08,-7.116402204115551285e+03,8.664039230812617731e+00
1.088744388215895764e-08,-7.116509824764077166e+03,8.529434194239026823e+00
1.092926979475818766e-08,-7.116615804669417230e+03,8.396882188358718579e+00
1.097109570735741768e-08,-7.116720174977492206e+03,8.266344217298440711e+00
1.101292161995664605e-08,-7.116822966127499058e+03,8.137782170734141118e+00
1.105474753255587608e-08,-7.116924207870551072e+03,8.011158800518453305e+00
1.109657344515510610e-08,-7.117023929287745887e+03,7.886437698005817509e+00
1.113839935775433612e-08,-7.117122158807713276e+03,7.763583272060293083e+00
1.118022527035356614e-08,-7.117218924223619979e+03,7.642560727717158997e+00
1.122205118295279451e-08,-7.117314252709683387e+03,7.523336045479648959e+00
1.126387709555202453e-08,-7.117408170837184116e+03,7.405875961228742810e+00
1.130570300815125456e-08,-7.117500704590019268e+03,7.290147946725193506e+00
1.134752892075048292e-08,-7.117591879379797319e+03,7.176120190685509215e+00
1.138935483334971295e-08,-7.117681720060477346e+03,7.063761580411432206e+00
1.143118074594894297e-08,-7.117770250942603525e+03,6.953041683954367613e+00
1.147300665854817299e-08,-7.117857495807111263e+03,6.843930732802908423e+00
1.151483257114740302e-08,-7.117943477918727694e+03,6.736399605065228613e+00
1.155665848374663138e-08,-7.118028220039012922e+03,6.630419809141178789e+00
1.159848439634586141e-08,-7.118111744438998358e+03,6.525963467864102086e+00
1.164031030894509143e-08,-7.118194072911476724e+03,6.423003303095470073e+00
1.168213622154431980e-08,-7.118275226782934624e+03,6.321512620758809931e+00
1.172396213414354982e-08,-7.118355226925165880e+03,6.221465296302229220e+00
1.176578804674277984e-08,-7.118434093766516526e+03,6.122835760570529473e+00
1.180761395934200986e-08,-7.118511847302861497e+03,6.025598986077271846e+00
1.184943987194123989e-08,-7.118588507108228441e+03,5.929730473663774148e+00
1.189126578454046826e-08,-7.118664092345150493e+03,5.835206239531649075e+00
1.193309169713969828e-08,-7.118738621774725289e+03,5.742002802638774384e+00
1.197491760973892830e-08,-7.118812113766388393e+03,5.650097172444697335e+00
1.201674352233815667e-08,-7.118884586307414793e+03,5.559466836997485117e+00
1.205856943493738669e-08,-7.118956057012167548e+03,5.470089751351588703e+00
1.210039534753661671e-08,-7.119026543131085418e+03,5.381944326300617476e+00
1.214222126013584674e-08,-7.119096061559414011e+03,5.295009417424893172e+00
1.218404717273507676e-08,-7.119164628845721381e+03,5.209264314435234411e+00
1.222587308533430513e-08,-7.119232261200164430e+03,5.124688730808058423e+00
1.226769899793353515e-08,-7.119298974502527017e+03,5.041262793704698097e+00
1.230952491053276517e-08,-7.119364784310059804e+03,4.958967034160059129e+00
1.235135082313199354e-08,-7.119429705865083633e+03,4.877782377541061365e+00
1.239317673573122356e-08,-7.119493754102417370e+03,4.797690134256276551e+00
1.243500264833045359e-08,-7.119556943656570184e+03,4.718671990720423537e+00
1.247682856092968361e-08,-7.119619288868783769e+03,4.640710000555362313e+00
1.251865447352891363e-08,-7.119680803793851737e+03,4.563786576030844699e+00
1.256048038612814200e-08,-7.119741502206775294e+03,4.487884479727783926e+00
1.260230629872737202e-08,-7.119801397609238848e+03,4.412986816424357528e+00
1.264413221132660205e-08,-7.119860503235920078e+03,4.339077025197884296e+00
1.268595812392583041e-08,-7.119918832060622663e+03,4.266138871729650006e+00
1.272778403652506044e-08,-7.119976396802257113e+03,4.194156440817177867e+00
1.276960994912429046e-08,-7.120033209930669727e+03,4.123114129078860657e+00
1.281143586172352048e-08,-7.120089283672306010e+03,4.052996637847074979e+00
1.285326177432275050e-08,-7.120144630015734947e+03,3.983788966250784380e+00
1.289508768692197887e-08,-7.120199260717042307e+03,3.915476404472210792e+00
1.293691359952120889e-08,-7.120253187305058418e+03,3.848044527178852814e+00
1.297873951212043892e-08,-7.120306421086471346e+03,3.781479187127044117e+00
1.302056542471966729e-08,-7.120358973150809106e+03,3.715766508925182787e+00
1.306239133731889731e-08,-7.120410854375284543e+03,3.650892882959718921e+00
1.310421724991812733e-08,-7.120462075429522883e+03,3.586844959473253436e+00
1.314604316251735735e-08,-7.120512646780171963e+03,3.523609642794071295e+00
1.318786907511658738e-08,-7.120562578695388765e+03,3.461174085712511062e+00
1.322969498771581574e-08,-7.120611881249216822e+03,3.399525683998300796e+00
1.327152090031504577e-08,-7.120660564325859013e+03,3.338652071053984205e+00
1.331334681291427579e-08,-7.120708637623830327e+03,3.278541112706605976e+00
1.335517272551350416e-08,-7.120756110660021477e+03,3.219180902125796440e+00
1.339699863811273418e-08,-7.120802992773649748e+03,3.160559754868474069e+00
1.343882455071196420e-08,-7.120849293130116166e+03,3.102666204049570720e+00
1.348065046331119423e-08,-7.120895020724776259e+03,3.045488995630256657e+00
1.352247637591042425e-08,-7.120940184386596229e+03,2.989017083822245180e+00
1.356430228850965262e-08,-7.120984792781741817e+03,2.933239626603835415e+00
1.360612820110888264e-08,-7.121028854417065304e+03,2.878145981350890725e+00
1.364795411370811266e-08,-7.121072377643513391e+03,2.823725700569659214e+00
1.368978002630734103e-08,-7.121115370659448672e+03,2.769968527734760766e+00
1.373160593890657105e-08,-7.121157841513897438e+03,2.716864393229502905e+00
1.377343185150580108e-08,-7.121199798109702897e+03,2.664403410384543758e+00
1.381525776410503110e-08,-7.121241248206625642e+03,2.612575871610954170e+00
1.385708367670426112e-08,-7.121282199424345890e+03,2.561372244626617611e+00
1.389890958930348949e-08,-7.121322659245412979e+03,2.510783168774612495e+00
1.394073550190271951e-08,-7.121362635018108449e+03,2.460799451428374862e+00
1.398256141450194953e-08,-7.121402133959255480e+03,2.411412064482276296e+00
1.402438732710117790e-08,-7.121441163156948278e+03,2.362612140928102011e+00
1.406621323970040792e-08,-7.121479729573226905e+03,2.314390971509774797e+00
1.410803915229963795e-08,-7.121517840046680249e+03,2.266740001459281562e+00
1.414986506489886797e-08,-7.121555501295000795e+03,2.219650827309048058e+00
1.419169097749809799e-08,-7.121592719917459362e+03,2.173115193777295229e+00
1.423351689009732636e-08,-7.121629502397341639e+03,2.127124990731149357e+00
1.427534280269655638e-08,-7.121665855104320144e+03,2.081672250215214515e+00
1.431716871529578641e-08,-7.121701784296757069e+03,2.036749143553131969e+00
1.435899462789501477e-08,-7.121737296123987107e+03,1.992347978515388807e+00
1.440082054049424480e-08,-7.121772396628506613e+03,1.948461196552839336e+00
1.444264645309347482e-08,-7.121807091748154562e+03,1.905081370092826187e+00
1.448447236569270484e-08,-7.121841387318194393e+03,1.862201199900960891e+00
1.452629827829193486e-08,-7.121875289073401291e+03,1.819813512499815378e+00
1.456812419089116323e-08,-7.121908802650059442e+03,1.777911257647834642e+00
1.460995010349039326e-08,-7.121941933587934727e+03,1.736487505877788440e+00
1.465177601608962328e-08,-7.121974687332194662e+03,1.695535446089414311e+00
1.469360192868885165e-08,-7.122007069235293784e+03,1.655048383196825679e+00
