Rvals*1e9,0a1,0a1,0a1,0a1,0a1,0a1,0a1
1.978524498523051331e-09,-7.438090024287662345e+03,-6.662012947952143804e+03,-5.620720821237579003e+03,-8.511966010063222399e+00,1.467837450538837402e+03,1.854767224587581723e+03,1.967332751389248642e+03
2.020350411122280940e-09,-7.404622515189008482e+03,-6.672424377863654627e+03,-5.710146147362049305e+03,-2.249450216008778725e+01,1.363902882430222235e+03,1.738227112965628976e+03,1.845358614987569354e+03
2.062176323721510549e-09,-7.375135126182189197e+03,-6.684028567595715685e+03,-5.792692466735566086e+03,-3.372293678041774712e+01,1.269549792466365943e+03,1.631328386891167384e+03,1.733309634819664325e+03
2.104002236320740158e-09,-7.349116118730037670e+03,-6.696457252970339141e+03,-5.869002170467873839e+03,-4.267211659989746408e+01,1.183720757551983070e+03,1.533086259481972093e+03,1.630191148812972870e+03
2.145828148919969767e-09,-7.326123330050499135e+03,-6.709417420614924595e+03,-5.939647665574640996e+03,-4.973535665586322807e+01,1.105490499877538014e+03,1.442634802101649939e+03,1.535126219511281761e+03
2.187654061519199376e-09,-7.305774364826347664e+03,-6.722677202538590791e+03,-6.005140041148809360e+03,-5.523855634278378091e+01,1.034047865956027863e+03,1.359210529631026930e+03,1.447339662210978986e+03
2.229479974118428985e-09,-7.287738196243627499e+03,-6.736054292288994475e+03,-6.065936535237308817e+03,-5.945190485710932649e+01,9.686804242092986215e+02,1.282138515158948394e+03,1.366144501467444343e+03
2.271305886717658594e-09,-7.271727972291276274e+03,-6.749406466704514969e+03,-6.122446986023242061e+03,-6.259955930553622494e+01,9.087612803676087196e+02,1.210820608037121247e+03,1.290930449565142226e+03
2.313131799316888203e-09,-7.257494853235581104e+03,-6.762623852430651823e+03,-6.175039419971147254e+03,-6.486763087883595347e+01,8.537377748352031404e+02,1.144725406347848548e+03,1.221154074325920647e+03
2.354957711916117812e-09,-7.244822731429927444e+03,-6.775622629694582429e+03,-6.224044904385351401e+03,-6.641076707760777253e+01,8.031217796327247243e+02,1.083379697165695234e+03,1.156330383056492337e+03
