R_values,HFavg
2.521376980698227727e-08,1.453636816448350411e-01
2.542035550484143963e-08,1.409428677027165233e-01
2.562694120270059538e-08,1.367119257530870491e-01
2.583352690055975774e-08,1.326614715418073798e-01
2.604011259841891348e-08,1.287826468635508703e-01
2.624669829627807584e-08,1.250670846927745827e-01
2.645328399413723158e-08,1.215068770621696853e-01
2.665986969199639394e-08,1.180945454502462799e-01
2.686645538985554969e-08,1.148230134614998815e-01
2.707304108771471205e-08,1.116855816023636094e-01
2.727962678557386779e-08,1.086759039736783644e-01
2.748621248343303015e-08,1.057879667162898996e-01
2.769279818129218589e-08,1.030160680603547513e-01
2.789938387915134825e-08,1.003547998423157533e-01
2.810596957701050400e-08,9.779903036475386113e-02
2.831255527486966636e-08,9.534388848493062507e-02
2.851914097272882210e-08,9.298474882787055584e-02
2.872572667058798446e-08,9.071721802813638436e-02
2.893231236844714020e-08,8.853712191302282042e-02
2.913889806630630256e-08,8.644049354710525712e-02
2.934548376416545830e-08,8.442356206511915373e-02
2.955206946202462067e-08,8.248274222660235966e-02
2.975865515988378303e-08,8.061462463150799451e-02
2.996524085774293877e-08,7.881596654175879180e-02
3.017182655560210113e-08,7.708368325877018590e-02
3.037841225346125687e-08,7.541484001164099060e-02
3.058499795132041923e-08,7.380664431515683577e-02
3.079158364917957497e-08,7.225643876094647866e-02
3.099816934703873733e-08,7.076169420861112835e-02
3.120475504489789308e-08,6.932000334725234303e-02
3.141134074275705544e-08,6.792907460069075309e-02
3.161792644061621118e-08,6.658672635264623052e-02
3.182451213847537354e-08,6.529088147036908596e-02
3.203109783633452928e-08,6.403956210783005865e-02
3.223768353419369164e-08,6.283088477086572199e-02
3.244426923205284739e-08,6.166305562920324640e-02
3.265085492991200975e-08,6.053436606101941092e-02
3.285744062777116549e-08,5.936789479411958698e-02
3.306402632563032785e-08,5.823887735311418512e-02
3.327061202348948359e-08,5.714579937330787479e-02
3.347719772134864595e-08,5.608721701000613652e-02
3.368378341920780170e-08,5.502530241601658045e-02
3.389036911706696406e-08,5.399607960780262311e-02
3.409695481492611980e-08,5.299826599726137344e-02
3.430354051278528216e-08,5.203063779272625727e-02
3.451012621064443790e-08,5.109202708345912669e-02
3.471671190850360026e-08,5.018131906909495399e-02
3.492329760636275600e-08,4.929744942747038561e-02
3.512988330422191837e-08,4.843940181419442020e-02
3.533646900208107411e-08,4.760620548800926360e-02
3.554305469994023647e-08,4.679693305605672066e-02
3.574964039779939221e-08,4.601069833320572261e-02
3.595622609565855457e-08,4.524665431028861151e-02
3.616281179351771693e-08,4.450399122588034884e-02
3.636939749137687267e-08,4.378193473663923724e-02
3.657598318923603503e-08,4.307974418144858153e-02
3.678256888709519078e-08,4.239671093473903335e-02
3.698915458495435314e-08,4.173215684460886143e-02
3.719574028281350888e-08,4.108543275140165429e-02
3.740232598067267124e-08,4.045591708275449172e-02
3.760891167853182698e-08,3.984301452125237758e-02
3.781549737639098934e-08,3.924615474100374979e-02
3.802208307425014509e-08,3.866479120940235353e-02
3.822866877210930745e-08,3.809840005093287352e-02
3.843525446996846319e-08,3.754647896964733583e-02
3.864184016782762555e-08,3.696570565948711917e-02
3.884842586568678129e-08,3.639902908974173429e-02
3.905501156354594365e-08,3.579914201157261694e-02
3.926159726140509940e-08,3.521335078066728519e-02
3.946818295926426176e-08,3.464121927112231991e-02
3.967476865712341750e-08,3.408232805502332818e-02
3.988135435498257986e-08,3.353627365097279489e-02
4.008794005284173560e-08,3.300266781053582538e-02
4.029452575070089796e-08,3.248113684081456454e-02
4.050111144856005370e-08,3.197132096086141573e-02
4.070769714641921606e-08,3.147287369033226895e-02
4.091428284427837181e-08,3.098546126857601793e-02
4.112086854213753417e-08,3.050876210239768585e-02
4.132745423999668991e-08,3.004246624107969124e-02
4.153403993785585227e-08,2.958627487717613302e-02
4.174062563571500801e-08,2.913989987156521966e-02
4.194721133357417037e-08,2.870306330170821485e-02
4.215379703143332612e-08,2.827549703153389021e-02
4.236038272929248848e-08,2.785694230217914541e-02
4.256696842715165084e-08,2.744714934219755903e-02
4.277355412501080658e-08,2.704587699627220704e-02
4.298013982286996894e-08,2.665289237158638760e-02
4.318672552072912468e-08,2.626797050075294071e-02
4.339331121858828704e-08,2.589089402054441102e-02
4.359989691644744279e-08,2.552145286556373183e-02
4.380648261430660515e-08,2.515944397611522346e-02
4.401306831216576089e-08,2.480467101949002454e-02
4.421965401002492325e-08,2.445694412404311388e-02
