R_values,D1_avg
9.354584396810190583e+01,5.727571430442534358e-04
9.374229683393393486e+01,5.674469371537517242e-04
9.393874969976597811e+01,5.621969264202143551e-04
9.413520256559800714e+01,5.570063047341147593e-04
9.433165543143003617e+01,5.518742784313830337e-04
9.452810829726207942e+01,5.468000660758880974e-04
9.472456116309410845e+01,5.417828982461641739e-04
9.492101402892613748e+01,5.368220173262854304e-04
9.511746689475816652e+01,5.319166773008064848e-04
9.531391976059020976e+01,5.270661435536774884e-04
9.551037262642223880e+01,5.222696926710514945e-04
9.570682549225426783e+01,5.175266122478957512e-04
9.590327835808631107e+01,5.128362006983328654e-04
9.609973122391834011e+01,5.081977670696287896e-04
9.629618408975036914e+01,5.036106308597474010e-04
9.649263695558239817e+01,4.990741218384034741e-04
9.668908982141444142e+01,4.945875798715326267e-04
9.688554268724647045e+01,4.901503547491123164e-04
9.708199555307849948e+01,4.857618060162571284e-04
9.727844841891054273e+01,4.814213028075251454e-04
9.747490128474257176e+01,4.771282236843663884e-04
9.767135415057460079e+01,4.728819564756443208e-04
9.786780701640664404e+01,4.686818981211710012e-04
9.806425988223867307e+01,4.645274545181915906e-04
9.826071274807070210e+01,4.604180403707531090e-04
9.845716561390273114e+01,4.563530790419042605e-04
9.865361847973477438e+01,4.523320024086614917e-04
9.885007134556680342e+01,4.483542507196897303e-04
9.904652421139883245e+01,4.444192724556342679e-04
9.924297707723087569e+01,4.405265241920577109e-04
9.943942994306290473e+01,4.366754704649237757e-04
9.963588280889493376e+01,4.328655836385736648e-04
9.983233567472696279e+01,4.290963437761497585e-04
1.000287885405590060e+02,4.253672385124118694e-04
1.002252414063910351e+02,4.216777629289001988e-04
1.004216942722230641e+02,4.180274194313936568e-04
1.006181471380551073e+02,4.144157176296212096e-04
1.008146000038871364e+02,4.108421742191789810e-04
1.010110528697191654e+02,4.073063128656051338e-04
1.012075057355512087e+02,4.038076640905750164e-04
1.014039586013832377e+02,4.003457651601695757e-04
1.016004114672152667e+02,3.969201599751752928e-04
1.017968643330472958e+02,3.935303989633774256e-04
1.019933171988793390e+02,3.901760389738048685e-04
1.021897700647113680e+02,3.868566431728879791e-04
1.023862229305433971e+02,3.835717809424897973e-04
1.025826757963754403e+02,3.803210277797763428e-04
1.027791286622074693e+02,3.771039651988875008e-04
1.029755815280394984e+02,3.739201806343710925e-04
1.031720343938715274e+02,3.707692673463492284e-04
1.033684872597035707e+02,3.676508243273792702e-04
1.035649401255355997e+02,3.645644562109782300e-04
1.037613929913676287e+02,3.615097731817748278e-04
1.039578458571996720e+02,3.584863908872611268e-04
1.041542987230317010e+02,3.554939303511100274e-04
1.043507515888637300e+02,3.525320178880269619e-04
1.045472044546957733e+02,3.496002850201082503e-04
1.047436573205278023e+02,3.466983683946764112e-04
1.049401101863598313e+02,3.438259097035601709e-04
1.051365630521918604e+02,3.409825556037965680e-04
1.053330159180239036e+02,3.381679576397226238e-04
1.055294687838559327e+02,3.353817721664338137e-04
1.057259216496879617e+02,3.326236602745781664e-04
1.059223745155200049e+02,3.298932877164651215e-04
