R_values,C3
2.111711711711711547e-08,-9.527669674473553396e-01
2.121621621621621313e-08,-9.394783564239167495e-01
2.131531531531531410e-08,-9.264357228312811721e-01
2.141441441441441176e-08,-9.136334014817234506e-01
2.151351351351351273e-08,-9.010658830412436870e-01
2.161261261261261039e-08,-8.887278090501522509e-01
2.171171171171171136e-08,-8.766139671246367948e-01
2.181081081081080902e-08,-8.647192863319590472e-01
2.190990990990990668e-08,-8.530388327322312447e-01
2.200900900900900765e-08,-8.415678050800620147e-01
2.210810810810810532e-08,-8.303015306796491801e-01
2.220720720720720629e-08,-8.192354613871783986e-01
2.230630630630630395e-08,-8.083651697546743176e-01
2.240540540540540492e-08,-7.976863453096877388e-01
2.250450450450450258e-08,-7.871947909654688491e-01
2.260360360360360355e-08,-7.768864195564910702e-01
2.270270270270270121e-08,-7.667572504944329959e-01
2.280180180180179887e-08,-7.568034065399148469e-01
2.290090090090089984e-08,-7.470211106855138006e-01
2.299999999999999750e-08,-7.374066831457526394e-01
2.309909909909909847e-08,-7.279565384499503411e-01
2.319819819819819613e-08,-7.186671826340034208e-01
2.329729729729729711e-08,-7.095352105273151633e-01
2.339639639639639477e-08,-7.005573031312749555e-01
2.349549549549549243e-08,-6.917302250858134993e-01
2.359459459459459340e-08,-6.830508222207284375e-01
2.369369369369369106e-08,-6.745160191886009349e-01
2.379279279279279203e-08,-6.661228171762501038e-01
2.389189189189188969e-08,-6.578682916918185963e-01
2.399099099099099066e-08,-6.497495904246761711e-01
2.409009009009008832e-08,-6.417639311754671505e-01
2.418918918918918598e-08,-6.339085998537175026e-01
2.428828828828828695e-08,-6.261809485405370745e-01
2.438738738738738462e-08,-6.185783936140440975e-01
2.448648648648648559e-08,-6.110984139352327871e-01
2.458558558558558325e-08,-6.037385490921091113e-01
2.468468468468468422e-08,-5.964963976999857476e-01
2.478378378378378188e-08,-5.893696157559370485e-01
2.488288288288287954e-08,-5.823559150454667988e-01
2.498198198198198051e-08,-5.754530615995440135e-01
2.508108108108107817e-08,-5.686588742002145480e-01
2.518018018018017914e-08,-5.619712229330781073e-01
2.527927927927927680e-08,-5.553880277849846392e-01
2.537837837837837777e-08,-5.489072572853631593e-01
2.547747747747747544e-08,-5.425269271896675516e-01
2.557657657657657641e-08,-5.362450992034689667e-01
2.567567567567567407e-08,-5.300598797457967137e-01
2.577477477477477173e-08,-5.239694187503656231e-01
2.587387387387387270e-08,-5.179719085033979153e-01
2.597297297297297036e-08,-5.120655825167811370e-01
2.607207207207207133e-08,-5.062487144353601254e-01
2.617117117117116899e-08,-5.005196169772068160e-01
2.627027027027026996e-08,-4.948766409057457905e-01
2.636936936936936762e-08,-4.893181740326718043e-01
2.646846846846846528e-08,-4.838426402506149082e-01
2.656756756756756625e-08,-4.784484985945673952e-01
2.666666666666666392e-08,-4.731342423311094558e-01
2.676576576576576489e-08,-4.678983980745096138e-01
2.686486486486486255e-08,-4.627395249288162038e-01
2.696396396396396352e-08,-4.576562136550770821e-01
2.706306306306306118e-08,-4.526470858628684479e-01
2.716216216216215884e-08,-4.477107932253314160e-01
2.726126126126125981e-08,-4.428460167169561146e-01
2.736036036036035747e-08,-4.380514658733700717e-01
2.745945945945945844e-08,-4.333258780724200121e-01
2.755855855855855610e-08,-4.286680178358619475e-01
2.765765765765765707e-08,-4.240766761509945915e-01
2.775675675675675474e-08,-4.195506698116008293e-01
2.785585585585585571e-08,-4.150888407775773503e-01
2.795495495495495337e-08,-4.106900555526630248e-01
2.805405405405405103e-08,-4.063532045796872105e-01
2.815315315315315200e-08,-4.020772016527905390e-01
2.825225225225224966e-08,-3.978609833460801659e-01
2.835135135135135063e-08,-3.937035084582051203e-01
2.845045045045044829e-08,-3.896037574723569819e-01
2.854954954954954926e-08,-3.855607320312107733e-01
