R_values,C3
2.369369369369369106e-08,-8.768708249451812042e-01
2.379279279279279203e-08,-8.659596623291251349e-01
2.389189189189188969e-08,-8.552287791993642418e-01
2.399099099099099066e-08,-8.446744675520790890e-01
2.409009009009008832e-08,-8.342931105281072846e-01
2.418918918918918598e-08,-8.240811798098327534e-01
2.428828828828828695e-08,-8.140352331026982080e-01
2.438738738738738462e-08,-8.041519116982573934e-01
2.448648648648648559e-08,-7.944279381158027009e-01
2.458558558558558325e-08,-7.848601138197418559e-01
2.468468468468468422e-08,-7.754453170099815384e-01
2.478378378378378188e-08,-7.661805004827182408e-01
2.488288288288287954e-08,-7.570626895591068273e-01
2.498198198198198051e-08,-7.480889800794072730e-01
2.508108108108107817e-08,-7.392565364602788902e-01
2.518018018018017914e-08,-7.305625898130015949e-01
2.527927927927927680e-08,-7.220044361204800420e-01
2.537837837837837777e-08,-7.135794344709721626e-01
2.547747747747747544e-08,-7.052850053465677949e-01
2.557657657657657641e-08,-6.971186289645097123e-01
2.567567567567567407e-08,-6.890778436695357279e-01
2.577477477477477173e-08,-6.811602443754752878e-01
2.587387387387387270e-08,-6.733634810544173455e-01
2.597297297297297036e-08,-6.656852572718154892e-01
2.607207207207207133e-08,-6.581233287659682407e-01
2.617117117117116899e-08,-6.506755020703688386e-01
2.627027027027026996e-08,-6.433396331774695609e-01
2.636936936936936762e-08,-6.361136262424733623e-01
2.646846846846846528e-08,-6.289954323257993529e-01
2.656756756756756625e-08,-6.219830481729375915e-01
2.666666666666666392e-08,-6.150745150304423037e-01
2.676576576576576489e-08,-6.082679174968624869e-01
2.686486486486486255e-08,-6.015613824074610427e-01
2.696396396396396352e-08,-5.949530777516002233e-01
2.706306306306306118e-08,-5.884412116217290212e-01
2.716216216216215884e-08,-5.820240311929308907e-01
2.726126126126125981e-08,-5.756998217320429267e-01
2.736036036036035747e-08,-5.694669056353811598e-01
2.745945945945945844e-08,-5.633236414941460435e-01
2.755855855855855610e-08,-5.572684231866205096e-01
