Rvals*1e9, Energy (GHz)
8.088306807411909460e+01,-1.695577822116112188e-02
8.119983281083646887e+01,-1.675811522734393932e-02
8.151659754755385734e+01,-1.656351269085343247e-02
8.183336228427121739e+01,-1.637191160810491652e-02
8.215012702098860586e+01,-1.618325433532730173e-02
8.246689175770598013e+01,-1.599748455213845233e-02
8.278365649442335439e+01,-1.581454722623965026e-02
8.310042123114072865e+01,-1.563438857917232028e-02
8.341718596785811712e+01,-1.545695605311880882e-02
8.373395070457549139e+01,-1.528219827869881087e-02
8.405071544129286565e+01,-1.511006504373746395e-02
8.436748017801023991e+01,-1.494050726296425324e-02
8.468424491472762838e+01,-1.477347694861830263e-02
8.500100965144500265e+01,-1.460892718192363660e-02
8.531777438816237691e+01,-1.444681208541265249e-02
8.563453912487975117e+01,-1.428708679606005560e-02
8.595130386159713964e+01,-1.412970743921349026e-02
8.626806859831449970e+01,-1.397463110327601399e-02
8.658483333503188817e+01,-1.382181581514130286e-02
8.690159807174926243e+01,-1.367122051632874147e-02
8.721836280846665090e+01,-1.352280503981884152e-02
8.753512754518401096e+01,-1.337653008755212980e-02
8.785189228190139943e+01,-1.323235720857640629e-02
8.816865701861877369e+01,-1.309024877781839180e-02
8.848542175533616216e+01,-1.295016797546422183e-02
8.880218649205352222e+01,-1.281207876692347369e-02
8.911895122877091069e+01,-1.267594588336073969e-02
8.943571596548828495e+01,-1.254173480277787078e-02
8.975248070220565921e+01,-1.240941173163090383e-02
9.006924543892303348e+01,-1.227894358695724719e-02
9.038601017564042195e+01,-1.215029797900468722e-02
9.070277491235779621e+01,-1.202344319434622832e-02
9.101953964907517047e+01,-1.189834817946033851e-02
9.133630438579254474e+01,-1.177498252476461005e-02
9.165306912250993321e+01,-1.165331644909484154e-02
9.196983385922730747e+01,-1.153332078460156396e-02
9.228659859594468173e+01,-1.141496696206800721e-02
9.260336333266205600e+01,-1.129822699662463847e-02
9.292012806937944447e+01,-1.118307347385183448e-02
9.323689280609680452e+01,-1.106947953625869729e-02
9.355365754281419299e+01,-1.095741887013046423e-02
9.387042227953156726e+01,-1.084686569272497181e-02
9.418718701624895573e+01,-1.073779473981506527e-02
9.450395175296631578e+01,-1.063018125356363086e-02
9.482071648968370425e+01,-1.052400097072148100e-02
9.513748122640107852e+01,-1.041923011113921049e-02
9.545424596311845278e+01,-1.031584536658014528e-02
9.577101069983582704e+01,-1.021382388983216316e-02
9.608777543655320130e+01,-1.011314328410595209e-02
9.640454017327058978e+01,-1.001378159270371881e-02
9.672130490998796404e+01,-9.915717288968561860e-03
9.703806964670533830e+01,-9.818929266486087215e-03
9.735483438342271256e+01,-9.723396829548480724e-03
9.767159912014010104e+01,-9.629099683854835945e-03
9.798836385685746109e+01,-9.536017927463724675e-03
9.830512859357484956e+01,-9.444132041966479818e-03
9.862189333029222382e+01,-9.353422883894957351e-03
9.893865806700961230e+01,-9.263871676343793382e-03
9.925542280372697235e+01,-9.175460000809820826e-03
9.957218754044436082e+01,-9.088169789232658502e-03
9.988895227716173508e+01,-9.001983316244910327e-03
1.002057170138791093e+02,-8.916883191607993808e-03
1.005224817505964836e+02,-8.832852352847364585e-03
1.008392464873138721e+02,-8.749874058065820748e-03
1.011560112240312463e+02,-8.667931878937995549e-03
1.014727759607486206e+02,-8.587009693882041717e-03
1.017895406974659949e+02,-8.507091681395184679e-03
1.021063054341833833e+02,-8.428162313561138319e-03
1.024230701709007434e+02,-8.350206349710731502e-03
1.027398349076181319e+02,-8.273208830242406719e-03
1.030565996443355061e+02,-8.197155070594153159e-03
1.033733643810528946e+02,-8.122030655363321472e-03
1.036901291177702547e+02,-8.047821432564550292e-03
1.040068938544876431e+02,-7.974513508034242193e-03
1.043236585912050174e+02,-7.902093239966934135e-03
1.046404233279224059e+02,-7.830547233582230149e-03
1.049571880646397659e+02,-7.759862335923628507e-03
1.052739528013571544e+02,-7.690025630780361610e-03
1.055907175380745286e+02,-7.621024433728251779e-03
1.059074822747919029e+02,-7.552846287296244299e-03
1.062242470115092772e+02,-7.485478956238189596e-03
1.065410117482266656e+02,-7.418910422923197245e-03
1.068577764849440399e+02,-7.353128882835680002e-03
1.071745412216614142e+02,-7.288122740175762004e-03
1.074913059583787884e+02,-7.223880603569377001e-03
1.078080706950961769e+02,-7.160391281872957592e-03
1.081248354318135512e+02,-7.097643780084261778e-03
1.084416001685309254e+02,-7.035627295337576470e-03
1.087583649052482997e+02,-6.974331213001505603e-03
1.090751296419656882e+02,-6.913745102862911551e-03
1.093918943786830482e+02,-6.853858715400118484e-03
1.097086591154004367e+02,-6.794661978140492664e-03
1.100254238521178110e+02,-6.736144992101955609e-03
1.103421885888351994e+02,-6.678298028319762381e-03
1.106589533255525595e+02,-6.621111524445222329e-03
1.109757180622699479e+02,-6.564576081428796783e-03
1.112924827989873222e+02,-6.508682460276471460e-03
1.116092475357046965e+02,-6.453421578877627240e-03
1.119260122724220707e+02,-6.398784508904409307e-03
1.122427770091394450e+02,-6.344762472786591445e-03
1.125595417458568335e+02,-6.291346840745948299e-03
1.128763064825742077e+02,-6.238529127902570082e-03
1.131930712192915820e+02,-6.186300991445126130e-03
1.135098359560089563e+02,-6.134654227862856857e-03
1.138266006927263447e+02,-6.083580770239738200e-03
1.141433654294437048e+02,-6.033072685606821750e-03
1.144601301661610933e+02,-5.983122172357191459e-03
1.147768949028784675e+02,-5.933721557713766970e-03
1.150936596395958560e+02,-5.884863295254394444e-03
1.154104243763132160e+02,-5.836539962488895839e-03
1.157271891130306045e+02,-5.788744258495626127e-03
1.160439538497479788e+02,-5.741469001600219002e-03
1.163607185864653530e+02,-5.694707127112064171e-03
1.166774833231827273e+02,-5.648451685107858111e-03
1.169942480599001158e+02,-5.602695838256899208e-03
1.173110127966174900e+02,-5.557432859708999473e-03
1.176277775333348643e+02,-5.512656131003712545e-03
1.179445422700522386e+02,-5.468359140052392320e-03
1.182613070067696270e+02,-5.424535479138015148e-03
1.185780717434870013e+02,-5.381178842975398169e-03
1.188948364802043756e+02,-5.338283026801615705e-03
1.192116012169217498e+02,-5.295841924515265475e-03
1.195283659536391241e+02,-5.253849526847709228e-03
1.198451306903564841e+02,-5.212299919576057761e-03
1.201618954270738868e+02,-5.171187281779232592e-03
1.204786601637912469e+02,-5.130505884118008453e-03
1.207954249005086211e+02,-5.090250087164793769e-03
1.211121896372260096e+02,-5.050414339754283333e-03
1.214289543739433839e+02,-5.010993177384293062e-03
1.217457191106607439e+02,-4.971981220638355126e-03
1.220624838473781466e+02,-4.933373173638511133e-03
1.223792485840955067e+02,-4.895163822546066967e-03
1.226960133208129093e+02,-4.857348034074338017e-03
1.230127780575302694e+02,-4.819920754042250621e-03
1.233295427942476437e+02,-4.782877005959473848e-03
1.236463075309650321e+02,-4.746211889632423464e-03
1.239630722676824064e+02,-4.709920579806237129e-03
1.242798370043997664e+02,-4.673998324826289519e-03
1.245966017411171691e+02,-4.638440445339675477e-03
1.249133664778345292e+02,-4.603242333006907216e-03
1.252301312145519034e+02,-4.568399449252691369e-03
1.255468959512692919e+02,-4.533907324033581432e-03
1.258636606879866662e+02,-4.499761554639380989e-03
1.261804254247040262e+02,-4.465957804504760986e-03
1.264971901614214289e+02,-4.432491802059068675e-03
1.268139548981387890e+02,-4.399359339591235596e-03
1.271307196348561916e+02,-4.366556272136890016e-03
1.274474843715735517e+02,-4.334078516389894276e-03
1.277642491082909260e+02,-4.301922049638751133e-03
1.280810138450083286e+02,-4.270082908713224157e-03
1.283977785817256745e+02,-4.238557188966041167e-03
1.287145433184430487e+02,-4.207341043260814928e-03
1.290313080551604514e+02,-4.176430680991938260e-03
1.293480727918778257e+02,-4.145822367112028672e-03
1.296648375285951715e+02,-4.115512421188682879e-03
1.299816022653125742e+02,-4.085497216473221727e-03
1.302983670020299485e+02,-4.055773178989863226e-03
1.306151317387473227e+02,-4.026336786641770971e-03
1.309318964754646970e+02,-3.997184568333977950e-03
1.312486612121820713e+02,-3.968313103114962104e-03
1.315654259488994740e+02,-3.939719019332876826e-03
1.318821906856168198e+02,-3.911398993810433211e-03
1.321989554223341941e+02,-3.883349751028664087e-03
1.325157201590515967e+02,-3.855568062339109758e-03
1.328324848957689710e+02,-3.828050745175559655e-03
1.331492496324863168e+02,-3.800794662294659787e-03
1.334660143692037195e+02,-3.773796721020072908e-03
1.337827791059210938e+02,-3.747053872508843142e-03
1.340995438426384965e+02,-3.720563111027086478e-03
1.344163085793558423e+02,-3.694321473240336218e-03
1.347330733160732166e+02,-3.668326037516767002e-03
1.350498380527906193e+02,-3.642573923245517875e-03
1.353666027895079935e+02,-3.617062290165229399e-03
1.356833675262253394e+02,-3.591788337708567980e-03
1.360001322629427420e+02,-3.566749304351635175e-03
1.363168969996601163e+02,-3.541942466986469640e-03
1.366336617363774906e+02,-3.517365140292660897e-03
1.369504264730948648e+02,-3.493014676132943919e-03
1.372671912098122391e+02,-3.468888462950570073e-03
1.375839559465296418e+02,-3.444983925181777096e-03
1.379007206832470160e+02,-3.421298522677140852e-03
1.382174854199643619e+02,-3.397829750138026128e-03
1.385342501566817646e+02,-3.374575136557034227e-03
1.388510148933991388e+02,-3.351532244672661420e-03
1.391677796301165131e+02,-3.328698670432839180e-03
1.394845443668338874e+02,-3.306072042466912109e-03
1.398013091035512616e+02,-3.283650021574047173e-03
1.401180738402686359e+02,-3.261430300205425681e-03
1.404348385769860386e+02,-3.239410601975745152e-03
1.407516033137033844e+02,-3.217588681165839404e-03
1.410683680504207871e+02,-3.195962322246170828e-03
1.413851327871381613e+02,-3.174529339402543116e-03
1.417018975238555356e+02,-3.153287576073360299e-03
1.420186622605729099e+02,-3.132234904491770777e-03
1.423354269972902841e+02,-3.111369225240689929e-03
1.426521917340076584e+02,-3.090688466811819524e-03
1.429689564707250611e+02,-3.070190585173548925e-03
